acct,bld_num,date_erected,im_sq_ft,land_ar,perimeter,bedrooms,full_bath,half_bath,total_rooms,dscr_e,frame_detached_garage,gunite_pool,pool_heater,solar_panel,brick_garage,canopy_residential,frame_abov,frame_shed,carport_residential,foundation_repaired,cracked_slab,latitude,longitude,distance_miles,land_val,bld_val,assessed_val,assessed_per_sqft
42350090003,1,1948,740,3612.0,114,2.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,398.0,0.0,0.0,0.0,0.0,0.0,29.78978219814584,-95.33598085979006,2.8970706924897383,55480.0,19887.0,75367.0,101.8472972972973
42360000008,2,1935,2340,3612.0,380,4.0,2.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.78898602548275,-95.33646186711375,2.8378186974067647,55480.0,65720.0,121200.0,51.794871794871796
61070000015,1,1960,1020,6250.0,142,4.0,1.0,1.0,6.0,2.0,1554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.657384501360795,-95.00921506609085,22.790627619601437,45313.0,34687.0,80000.0,78.43137254901961
61760000015,1,1969,1576,8750.0,166,3.0,2.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,414.0,0.0,420.0,0.0,0.0,-15760.0,29.669777627036204,-95.00774725824368,22.622037207507443,47126.0,123240.0,155440.0,98.62944162436548
70040000042,1,2019,2306,2792.0,328,3.0,3.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.65386092319296,-95.01085225474642,22.774939341992173,34621.0,305467.0,340088.0,147.479618386817
70410130009,1,1987,3862,12600.0,486,5.0,4.0,1.0,9.0,5.0,0.0,5314.0,1580.0,0.0,0.0,0.0,19024.0,0.0,0.0,0.0,0.0,29.704149190849733,-95.46595806757642,6.929821526162148,657900.0,470968.0,1128868.0,292.3013982392543
70430170013,1,1940,1946,6500.0,206,3.0,2.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.70815980525398,-95.4662565733049,6.79423837544387,372938.0,81852.0,454790.0,233.70503597122303
70580480007,1,1950,1863,8750.0,210,3.0,2.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,-18630.0,29.704116430314173,-95.47152422471896,7.210608105274337,495000.0,27592.0,504069.0,270.5684380032206
71120000006,2,1917,1025,8316.0,158,2.0,2.0,0.0,5.0,3.0,5863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.74538143290725,-95.33492439027376,2.342321940853937,247401.0,88179.0,343146.0,334.77658536585363
71240000017,1,1930,1161,6200.0,148,2.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.74734085102708,-95.33272216485226,2.409205704297194,196000.0,79842.0,275842.0,237.59000861326442
71670000024,1,1998,1488,5500.0,232,3.0,2.0,0.0,6.0,3.0,6260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.708381947277648,-95.30787156232512,5.168013616340816,63250.0,111222.0,180732.0,121.45967741935483
71720000004,2,1938,2123,7700.0,418,4.0,2.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.0,0.0,0.0,29.70863682697581,-95.31182256145894,4.9868765070065475,75900.0,176069.0,253553.0,119.43146490814884
72010000012,2,1930,3177,5000.0,540,7.0,4.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.767337521877053,-95.40845621913412,2.3542975238377895,475000.0,7797.0,482797.0,151.9663204280768
81620000037,1,1935,1036,5000.0,144,3.0,1.0,0.0,6.0,2.0,2069.0,0.0,0.0,0.0,0.0,222.0,0.0,0.0,1389.0,0.0,0.0,29.72974436871976,-95.29961087476278,4.720248934640697,65000.0,71487.0,140167.0,135.29633204633205
90470000013,2,1947,1765,4650.0,320,5.0,2.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.779162309667413,-95.35324734291424,1.6602252940345514,192231.0,51438.0,243669.0,138.05609065155807
90720010007,1,2002,1296,2532.0,212,2.0,2.0,0.0,5.0,3.0,5244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.75659676167286,-95.3788646451802,0.578771136196438,177240.0,139943.0,317183.0,244.73996913580248
90720010008,1,2002,1360,2532.0,220,2.0,2.0,0.0,5.0,3.0,5244.0,0.0,0.0,10575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.756597447578,-95.37878548675752,0.5744416685234615,177240.0,139069.0,332128.0,244.21176470588236
90970000007,1,1915,1631,4200.0,190,3.0,1.0,0.0,6.0,3.0,3053.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.751107218511592,-95.38624185555427,1.1504734838795432,414120.0,91447.0,507791.0,311.33721643163705
91350000007,1,1948,1708,4680.0,178,2.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1220.0,795.0,0.0,0.0,29.77838421013065,-95.3451396010954,1.958846735941505,88452.0,102827.0,193884.0,113.5152224824356
91410000018,1,1940,790,1938.0,118,2.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.781372880533645,-95.34559360197302,2.0786122096809563,56163.0,61661.0,117824.0,149.14430379746835
91510000018,1,1930,1076,4950.0,138,4.0,2.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,398.0,0.0,0.0,1292.0,0.0,0.0,29.778589470784038,-95.33373024415258,2.527872101610179,87400.0,53395.0,142485.0,132.42100371747213
91540000005,1,1928,867,3552.0,136,2.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.779141624344906,-95.3327477196994,2.5979977128242413,78286.0,31793.0,110079.0,126.96539792387543
91660000006,1,1930,1190,4800.0,144,2.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.777119976058128,-95.3310973648765,2.618193605628278,85975.0,50918.0,136893.0,115.03613445378151
92190150013,1,1976,1481,3750.0,288,3.0,2.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646.0,0.0,0.0,29.90608283515658,-95.4302934095385,10.712380456765421,33750.0,144530.0,178926.0,120.81431465226198
92350000007,1,1950,1448,5000.0,218,3.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.780272817943327,-95.31403878430255,3.639743606348798,100000.0,116528.0,216528.0,149.53591160220995
92650000004,1,2004,3825,6700.0,564,4.0,3.0,1.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.77202562310787,-95.4229470273293,3.275000693687523,497250.0,536607.0,1033857.0,270.2894117647059
102160000247,1,2014,2295,2688.0,378,3.0,2.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.781471185677905,-95.4207935734806,3.3799578416701155,188160.0,321377.0,509537.0,222.02047930283226
102250000672,1,2004,2248,2500.0,358,3.0,2.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.782188514436783,-95.42128253795303,3.4281272337723916,175000.0,227569.0,402569.0,179.07873665480426
102320000197,1,2011,2887,2688.0,462,4.0,3.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.78071020478141,-95.42483333980114,3.5782178756383773,188160.0,364714.0,552874.0,191.50467613439557
102520000024,1,1950,1352,5000.0,174,2.0,1.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0,485.0,0.0,0.0,29.80630584610037,-95.37751021542758,3.223328905643582,225000.0,159681.0,385453.0,285.0983727810651
111340110003,1,1985,1447,1487.0,306,3.0,2.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.7140798548302,-95.58422099644964,13.233891098468279,39250.0,122489.0,161739.0,111.77539737387698
111390020010,1,1963,1466,9240.0,182,3.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.687497742927363,-95.59309487265789,14.289807707518582,65560.0,62287.0,127847.0,87.20804911323329
113190000173,1,1930,2264,20460.0,248,4.0,2.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,8539.0,544.0,0.0,0.0,957.0,0.0,0.0,29.697676435831028,-95.11167539770123,16.094185044602323,56724.0,190065.0,256829.0,113.44037102473499
113190000412,1,1975,2995,26288.0,296,4.0,3.0,1.0,8.0,4.0,8451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.679727380052867,-95.11232199495302,16.43471869300708,131440.0,289843.0,429734.0,143.4838063439065
113250000007,2,1950,2536,15000.0,406,4.0,3.0,2.0,9.0,3.0,0.0,5655.0,0.0,0.0,0.0,1174.0,0.0,0.0,0.0,0.0,0.0,29.69443293820947,-95.12134610269425,15.599878496984495,102900.0,298700.0,401600.0,158.3596214511041
120120000033,1,1947,1792,6250.0,210,3.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,0.0,0.0,0.0,29.768090264660085,-95.3108190413633,3.598216570507665,93750.0,111113.0,204963.0,114.37667410714286
120170000037,1,1947,1218,6250.0,160,4.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,932.0,0.0,655.0,582.0,0.0,0.0,29.770180245842518,-95.31080874149632,3.6237538164381853,93750.0,84166.0,178033.0,146.16830870279145
120260000020,1,1950,1248,6250.0,160,3.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,646.0,0.0,0.0,29.769536286859708,-95.30194231904149,4.139664576484509,93750.0,88619.0,183488.0,147.02564102564102
120360000037,1,1947,1569,6250.0,166,3.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,388.0,0.0,0.0,29.771995227871383,-95.31079979718504,3.650423198236893,93750.0,116079.0,209929.0,133.79796048438496
120660000039,1,1938,1080,6250.0,144,2.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.777628349283116,-95.30976110398952,3.816171005629875,112500.0,39700.0,152200.0,140.92592592592592
120800000028,1,1950,1624,6250.0,172,2.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.778675633185507,-95.30661416810524,4.018110201002162,112500.0,67697.0,180197.0,110.95874384236453
120840000045,1,2020,1884,6250.0,226,3.0,2.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.77985233795025,-95.3107742542407,3.8108516368072776,112500.0,252259.0,364759.0,193.6088110403397
120920000029,2,1930,1808,6250.0,300,5.0,2.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.78056550168877,-95.3076767200986,4.001992662042204,112500.0,77500.0,190000.0,105.08849557522124
121080080011,1,1950,1015,6250.0,128,2.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.786569075104676,-95.3091490608718,4.087412472116997,112500.0,40702.0,153202.0,150.93793103448274
121350150009,1,1930,676,4000.0,104,2.0,1.0,0.0,5.0,2.0,2460.0,0.0,0.0,0.0,0.0,630.0,0.0,0.0,0.0,0.0,0.0,29.73175205646292,-95.32260119310136,3.4577092213186167,144000.0,55838.0,202401.0,299.40976331360946
122230000015,1,1960,994,13500.0,148,3.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.0,0.0,0.0,0.0,29.80984975696479,-95.2731826645068,6.7522382399263146,110026.0,49159.0,159676.0,160.63983903420524
122420160010,1,2003,2203,25200.0,250,3.0,2.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.82551268102286,-95.27324187631028,7.359172303095345,113000.0,196393.0,309393.0,140.4416704493872
122420400004,1,1946,1412,19680.0,152,3.0,2.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,4300.0,0.0,0.0,0.0,0.0,0.0,29.82278093324192,-95.27368849325212,7.223397362320101,98400.0,131623.0,234323.0,165.95113314447593
130030060025,1,1920,1064,3180.0,148,3.0,2.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.815347106071403,-95.38039457362896,3.866841416305113,91584.0,174116.0,265700.0,249.71804511278197
130220000001,1,1938,2312,6792.0,316,5.0,3.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,983.0,0.0,0.0,0.0,29.740836656966245,-95.32840060983666,2.833487615273189,235840.0,91566.0,328389.0,142.03676470588235
130250000003,1,1938,1170,6607.0,146,3.0,1.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.739993308396883,-95.32829560201596,2.8668392891793038,232140.0,60758.0,292898.0,250.34017094017094
130270000006,1,1920,1467,5350.0,168,3.0,2.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.0,0.0,0.0,29.740965550405647,-95.3313814765805,2.6725294117771567,207000.0,150308.0,357308.0,243.56373551465575
130340000015,1,1938,1320,5950.0,148,2.0,2.0,0.0,5.0,3.0,4509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,872.0,0.0,0.0,29.73794312387797,-95.3286983976919,2.9175242703881312,219000.0,198000.0,417000.0,315.90909090909093
130370000009,1,1945,1680,4980.0,180,3.0,2.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655.0,0.0,0.0,0.0,29.739807394391164,-95.33351156896944,2.604463889276095,199200.0,169593.0,369448.0,219.90952380952382
130420000006,1,1936,1403,5000.0,166,2.0,2.0,0.0,5.0,3.0,5779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.73692860550668,-95.3306685524034,2.85630171396764,200000.0,142741.0,342741.0,244.29151817533855
130530000013,1,1936,1239,6350.0,146,2.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.737447560219216,-95.33582360530784,2.584097323462739,227000.0,34962.0,261962.0,211.43018563357546
130540000020,1,1939,2042,5950.0,272,3.0,1.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.736950717814228,-95.33718491225224,2.541074758283213,219000.0,159393.0,378393.0,185.3050930460333
130580020021,1,1940,1164,5750.0,144,2.0,1.0,0.0,5.0,3.0,2440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0.0,0.0,29.73410139296792,-95.33633877850376,2.707164879908648,215000.0,67187.0,284814.0,244.68556701030928
131350000001,1,1938,1234,5000.0,150,2.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1325.0,0.0,0.0,29.777515366128025,-95.31639816640808,3.438265555239634,100000.0,59664.0,160989.0,130.4611021069692
140530000023,1,1999,2138,1394.0,366,3.0,2.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.749405504733257,-95.38597282900942,1.205219437127457,125460.0,240599.0,366059.0,171.2156220767072
140530000035,1,1999,2138,1394.0,366,2.0,2.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.749400331845823,-95.38626571841826,1.2193631139688461,125460.0,256586.0,382046.0,178.69317118802618
141110120033,2,1940,1345,5000.0,240,4.0,2.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.735975827342426,-95.2539527929594,7.164111327091616,46750.0,48579.0,95329.0,70.87657992565056
141120160017,1,2020,1409,5000.0,170,3.0,2.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.737075116717214,-95.25382346697212,7.154347532238548,46750.0,183105.0,229855.0,163.1334279630944
141120160023,1,2001,1500,4791.0,172,3.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.737333791584614,-95.25461846797278,7.1038710697711345,38328.0,118608.0,156936.0,104.624
141140210023,1,1940,1060,5000.0,144,4.0,1.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,29.73940295116145,-95.25483613767166,7.060730661434491,46750.0,44117.0,91012.0,85.86037735849057
141240640036,1,2007,1238,4500.0,186,3.0,2.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.753541749529937,-95.25586758890678,6.8670069642682225,42075.0,176643.0,218718.0,176.67043618739902
141260720028,1,2020,3007,7500.0,370,4.0,3.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.756539369323438,-95.25646915608048,6.820292644188035,70125.0,387317.0,457442.0,152.12570668440307
141450000060,1,2018,2659,2500.0,390,3.0,2.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.755672133222216,-95.40677412039548,2.2209848447911424,225000.0,383873.0,608873.0,228.98570891312522
141500000003,1,1919,1568,5000.0,172,2.0,1.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.734054181855885,-95.38909738101636,2.1301118312130662,400000.0,26632.0,426632.0,272.08673469387753
141850020005,2,1946,2474,10498.0,290,5.0,3.0,0.0,11.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.82310816293306,-95.28060415904082,6.910215107161566,87117.0,151417.0,238534.0,96.41632983023443
141850040004,1,1946,1196,5998.0,144,3.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,0.0,0.0,0.0,29.82376511738827,-95.2789200512424,7.017278054526123,46742.0,60590.0,107660.0,90.01672240802675
150260000007,1,1935,1318,6250.0,154,3.0,1.0,0.0,7.0,3.0,4911.0,0.0,0.0,0.0,0.0,857.0,0.0,0.0,0.0,0.0,0.0,29.742513266734274,-95.31862481877032,3.3183146130164713,168750.0,103351.0,277869.0,210.82625189681335
151010660017,1,2000,1969,5520.0,286,4.0,2.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.623360197909445,-95.21884111725709,13.103028668219894,34500.0,252215.0,286715.0,145.6145251396648
151030880013,1,1940,960,10800.0,136,3.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,533.0,0.0,0.0,0.0,0.0,0.0,29.62302974073215,-95.2036736357366,13.765211308209057,75600.0,52980.0,132049.0,137.55104166666666
151050110015,3,1930,2165,18000.0,326,6.0,3.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6218371897269,-95.2109806231628,13.508506869985046,82800.0,113900.0,196700.0,90.85450346420323
151330000001,1,1920,1518,5000.0,174,3.0,1.0,0.0,6.0,2.0,2647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1260.0,0.0,0.0,29.78932297936504,-95.36642289028404,2.0311422922267646,185250.0,46755.0,232005.0,152.83596837944663
151350000004,2,1929,2516,6500.0,358,5.0,3.0,0.0,9.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.78910111916917,-95.36664418720274,2.014495749292937,214500.0,126500.0,341000.0,135.53259141494436
151420000004,1,1940,1204,3000.0,142,2.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.78732146540191,-95.36733324829876,1.8881476662141778,155610.0,20102.0,175712.0,145.9401993355482
151590000001,1,2013,2628,5500.0,378,3.0,2.0,1.0,6.0,4.0,0.0,11148.0,3160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.80696673879595,-95.39087573683136,3.469613291333019,495000.0,703589.0,1212897.0,461.52853881278537
151990000007,1,1926,1494,6175.0,178,2.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.779756055734136,-95.34592425716755,1.986666322571824,100575.0,99434.0,200009.0,133.87483266398928
160310120037,2,1948,1820,5000.0,240,4.0,3.0,0.0,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1750.0,0.0,0.0,0.0,29.785849429400574,-95.302113925194,4.448627933476571,85000.0,199624.0,284724.0,156.44175824175824
160320130011,1,1947,1300,5000.0,162,3.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1418.0,349.0,0.0,0.0,29.7861292267795,-95.30415290516794,4.344785371239722,85000.0,84015.0,169115.0,130.08846153846153
160340220035,1,1946,1120,5000.0,134,2.0,1.0,0.0,4.0,2.0,1708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0,0.0,0.0,29.78447651725393,-95.30227408618386,4.402696958065057,85000.0,56889.0,142465.0,127.20089285714286
160370340025,2,1949,2252,7500.0,292,5.0,2.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.78308998980023,-95.30713603951368,4.096726158116237,106250.0,125635.0,231885.0,102.96847246891652
160380350029,1,1950,1028,5000.0,140,2.0,1.0,0.0,5.0,2.0,3444.0,0.0,0.0,0.0,0.0,932.0,0.0,0.0,1118.0,0.0,0.0,29.782423900373285,-95.30685962388748,4.094465241729787,85000.0,45673.0,130673.0,127.11381322957199
162160000003,1,1936,1006,5600.0,136,2.0,1.0,0.0,4.0,2.0,656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.752683658185948,-95.33697997049222,2.0516798694007807,222600.0,24492.0,247269.0,245.79423459244532
162550060033,1,2020,800,3000.0,132,3.0,2.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.874108188781012,-95.43871239013,8.886478299338526,37800.0,128409.0,166209.0,207.76125
162650000040,1,1978,1482,7400.0,164,3.0,1.0,1.0,5.0,3.0,6725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.868251777066256,-95.44401540966416,8.687668657719174,81720.0,92905.0,181350.0,122.36842105263158
162650000116,2,1958,2452,27965.0,312,5.0,3.0,0.0,11.0,2.0,3928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.867449887374462,-95.43826450479288,8.468424879646781,238151.0,148163.0,390242.0,159.15252854812397
162650380007,1,1950,1232,5250.0,144,3.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.868738730537164,-95.44461950976776,8.735085941165943,74484.0,33921.0,108405.0,87.99107142857143
162650550003,1,2022,1648,6750.0,210,4.0,3.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.868635216069173,-95.43571124623128,8.468065157713934,78911.0,195878.0,274789.0,166.74089805825244
